Store,Arrival Time,Order Time,Pickup Time,Total Time
1501071,4:57:54 AM,61,114,200
1501071,5:03:06 AM,21,64,103
1501071,5:07:13 AM,40,105,165
1501071,5:11:37 AM,19,54,92
1501071,5:15:25 AM,21,1,36
1501071,5:16:00 AM,21,70,103
1501071,5:17:14 AM,30,58,105
1501071,5:20:48 AM,19,78,119
1501071,5:20:54 AM,23,44,158
1501071,5:23:22 AM,48,76,139
1501071,5:27:11 AM,21,45,98
1501071,5:40:39 AM,37,87,145
1501071,5:49:59 AM,34,86,140
1501071,5:55:48 AM,23,72,114
1501071,5:57:32 AM,489,49,657
1501071,5:59:01 AM,19,62,101
1501071,6:02:45 AM,16,136,165
1501071,6:03:03 AM,21,48,196
1501071,6:04:03 AM,27,29,165
1501071,6:04:44 AM,29,47,174
1501071,6:12:32 AM,18,52,90
1501071,6:19:10 AM,11,34,64
1501071,6:19:57 AM,25,98,148
1501071,6:20:02 AM,26,33,179
1501071,6:21:54 AM,22,83,155
1501071,6:23:08 AM,58,127,210
1501071,6:23:16 AM,26,72,277
1501071,6:24:31 AM,17,27,231
1501071,6:26:06 AM,42,34,172
1501071,6:29:50 AM,24,61,101
1501071,6:32:47 AM,15,42,77
1501071,6:35:01 AM,29,61,111
1501071,6:39:51 AM,18,66,99
1501071,6:40:14 AM,29,82,162
1501071,6:40:36 AM,22,31,173
1501071,6:40:40 AM,28,1,173
1501071,6:41:55 AM,17,46,144
1501071,6:42:08 AM,15,34,166
1501071,6:44:56 AM,15,30,160
1501071,6:47:15 AM,31,109,165
1501071,6:47:54 AM,25,36,163
1501071,6:48:05 AM,27,65,221
1501071,6:49:24 AM,21,72,216
1501071,6:52:03 AM,29,31,90
1501071,6:53:47 AM,26,48,97
1501071,6:56:39 AM,13,24,56
1501071,6:57:46 AM,101,76,201
1501071,6:59:21 AM,31,76,188
1501071,7:03:04 AM,23,66,106
1501071,7:03:39 AM,13,40,113
1501071,7:04:31 AM,19,35,98
1501071,7:06:15 AM,31,86,142
1501071,7:09:33 AM,31,32,98
1501071,7:11:03 AM,22,30,71
1501071,7:11:11 AM,30,53,121
1501071,7:11:16 AM,23,80,198
1501071,7:12:55 AM,21,33,135
1501071,7:13:02 AM,36,73,204
1501071,7:16:48 AM,29,69,258
1501071,7:19:20 AM,24,49,157
1501071,7:20:48 AM,41,77,162
1501071,7:22:24 AM,21,29,272
1501071,7:22:24 AM,37,172,241
1501071,7:22:32 AM,50,31,296
1501071,7:23:27 AM,24,38,282
1501071,7:25:33 AM,21,94,250
1501071,7:25:33 AM,45,30,282
1501071,7:26:42 AM,12,21,236
1501071,7:27:12 AM,40,44,253
1501071,7:28:29 AM,28,50,229
1501071,7:28:57 AM,33,33,236
1501071,7:29:39 AM,38,36,231
1501071,7:31:31 AM,22,23,142
1501071,7:32:46 AM,32,71,140
1501071,7:33:10 AM,23,43,164
1501071,7:33:21 AM,20,25,180
1501071,7:34:31 AM,24,40,151
1501071,7:38:23 AM,22,85,128
1501071,7:39:03 AM,23,141,231
1501071,7:41:38 AM,26,59,139
1501071,7:42:09 AM,21,48,158
1501071,7:45:53 AM,14,36,65
1501071,7:48:15 AM,20,48,82
1501071,7:49:22 AM,32,60,111
1501071,7:50:23 AM,37,89,145
1501071,7:50:36 AM,23,156,293
1501071,7:51:42 AM,50,107,337
1501071,7:53:50 AM,105,70,314
1501071,7:53:54 AM,19,31,238
1501071,7:56:17 AM,38,46,214
1501071,7:58:55 AM,16,63,123
1501071,7:59:23 AM,22,32,129
1501071,8:00:58 AM,19,56,95
1501071,8:02:46 AM,24,59,105
1501071,8:06:34 AM,25,43,82
1501071,8:06:57 AM,37,51,110
1501071,8:07:38 AM,31,42,123
1501071,8:07:41 AM,21,61,183
1501071,8:08:05 AM,25,29,225
1501071,8:08:42 AM,11,26,152
1501071,8:09:39 AM,67,82,292
1501071,8:10:03 AM,23,28,244
1501071,8:11:28 AM,63,41,218
1501071,8:12:34 AM,33,32,179
1501071,8:13:57 AM,14,39,144
1501071,8:13:59 AM,30,30,215
1501071,8:16:13 AM,42,59,175
1501071,8:16:15 AM,38,65,242
1501071,8:16:19 AM,13,32,197
1501071,8:17:42 AM,16,50,229
1501071,8:19:09 AM,46,100,292
1501071,8:21:10 AM,20,68,238
1501071,8:21:14 AM,46,42,183
1501071,8:21:48 AM,27,33,199
1501071,8:22:11 AM,37,63,271
1501071,8:22:27 AM,28,21,235
1501071,8:22:40 AM,16,28,228
1501071,8:23:08 AM,23,37,250
1501071,8:27:06 AM,20,51,148
1501071,8:27:50 AM,31,84,195
1501071,8:32:51 AM,20,60,157
1501071,8:34:46 AM,45,51,129
1501071,8:34:53 AM,14,30,153
1501071,8:35:07 AM,35,40,182
1501071,8:35:59 AM,31,36,168
1501071,8:39:13 AM,15,38,83
1501071,8:42:49 AM,22,44,225
1501071,8:43:56 AM,53,57,220
1501071,8:44:41 AM,27,58,233
1501071,8:46:39 AM,15,36,152
1501071,8:46:56 AM,23,47,185
1501071,8:47:53 AM,32,47,180
1501071,8:49:25 AM,35,68,159
1501071,8:50:28 AM,34,96,195
1501071,8:52:07 AM,30,39,142
1501071,8:52:12 AM,26,36,176
1501071,8:52:47 AM,27,32,176
1501071,8:53:27 AM,71,52,190
1501071,8:54:00 AM,51,103,262
1501071,8:55:13 AM,22,57,249
1501071,8:56:12 AM,37,36,228
1501071,8:59:58 AM,27,1,45
1501071,9:00:20 AM,15,107,232
1501071,9:00:42 AM,27,98,139
1501071,9:02:21 AM,32,65,182
1501071,9:03:25 AM,18,43,163
1501071,9:04:04 AM,41,75,201
1501071,9:04:11 AM,123,96,292
1501071,9:06:14 AM,37,53,223
1501071,9:06:58 AM,31,88,268
1501071,9:08:52 AM,27,34,191
1501071,9:09:20 AM,12,56,223
1501071,9:09:32 AM,36,30,243
1501071,9:09:51 AM,33,54,279
1501071,9:09:56 AM,31,37,312
1501071,9:10:35 AM,21,35,310
1501071,9:11:06 AM,28,37,317
1501071,9:12:55 AM,43,37,247
1501071,9:15:31 AM,18,28,121
1501071,9:20:45 AM,35,81,137
1501071,9:21:42 AM,39,87,169
1501071,9:22:43 AM,20,78,187
1501071,9:23:00 AM,44,37,209
1501071,9:23:06 AM,48,51,255
1501071,9:24:03 AM,61,31,236
1501071,9:26:07 AM,39,46,161
1501071,9:26:27 AM,43,60,205
1501071,9:28:40 AM,25,49,130
1501071,9:30:07 AM,31,2,54
1501071,9:30:19 AM,24,47,162
1501071,9:30:55 AM,18,45,173
1501071,9:31:00 AM,31,69,115
1501071,9:31:48 AM,26,47,170
1501071,9:32:12 AM,30,46,194
1501071,9:32:15 AM,27,36,227
1501071,9:32:32 AM,19,43,256
1501071,9:33:13 AM,21,42,258
1501071,9:34:10 AM,27,47,251
1501071,9:34:45 AM,18,37,255
1501071,9:35:08 AM,39,28,262
1501071,9:35:35 AM,43,47,285
1501071,9:38:18 AM,93,64,190
1501071,9:41:48 AM,31,46,102
1501071,9:45:51 AM,26,63,106
1501071,9:46:57 AM,19,90,159
1501071,9:47:11 AM,61,37,130
1501071,9:48:03 AM,24,90,223
1501071,9:48:28 AM,3,33,179
1501071,9:49:02 AM,23,36,213
1501071,9:50:06 AM,28,98,279
1501071,9:51:42 AM,17,26,205
1501071,9:53:17 AM,67,67,291
1501071,9:56:12 AM,53,65,334
1501071,9:59:24 AM,58,84,227
1501071,9:59:30 AM,30,36,259
1501071,10:00:51 AM,25,37,216
1501071,10:02:25 AM,26,30,154
1501071,10:05:40 AM,71,43,134
1501071,10:06:21 AM,24,44,145
1501071,10:09:59 AM,24,66,115
1501071,10:19:49 AM,37,61,111
1501071,10:20:57 AM,26,70,110
1501071,10:30:26 AM,72,167,259
1501071,10:30:46 AM,33,61,305
1501071,10:31:48 AM,41,56,301
1501071,11:08:48 AM,36,55,114
1501071,11:15:30 AM,32,190,243
1501071,11:23:16 AM,62,184,263
1501071,11:27:44 AM,42,88,149
1501071,11:29:59 AM,22,65,105
1501071,11:36:27 AM,71,296,386
1501071,11:40:13 AM,65,185,350
1501071,11:40:35 AM,38,80,412
1501071,11:44:04 AM,41,72,277
1501071,11:51:29 AM,23,115,159
1501071,11:57:48 AM,71,120,209
1501071,11:58:16 AM,36,100,285
1501071,11:58:35 AM,23,106,376
1501071,11:59:02 AM,28,19,371
1501071,12:00:54 PM,29,115,377
1501071,12:00:59 PM,99,72,449
1501071,12:05:24 PM,39,131,317
1501071,12:14:51 PM,35,87,136
1501071,12:14:56 PM,5,204,455
1501071,12:15:39 PM,54,37,319
1501071,12:17:27 PM,53,177,500
1501071,12:20:44 PM,70,35,203
1501071,12:21:06 PM,26,54,253
1501071,12:21:34 PM,21,50,275
1501071,12:22:09 PM,41,38,255
1501071,12:22:10 PM,30,30,324
1501071,12:26:47 PM,24,125,295
1501071,12:27:01 PM,45,91,340
1501071,12:29:34 PM,27,97,317
1501071,12:35:08 PM,73,79,172
1501071,12:37:52 PM,61,198,275
1501071,12:38:46 PM,50,76,301
1501071,12:39:05 PM,48,51,336
1501071,12:50:05 PM,26,1,44
1501071,12:50:48 PM,26,68,108
1501071,12:51:43 PM,32,153,209
1501071,12:53:32 PM,29,23,128
1501071,12:56:44 PM,34,213,269
1501071,12:57:50 PM,40,72,280
1501071,12:59:06 PM,29,66,271
