Store,Arrival Time,Order Time,Pickup Time,Total Time
1501271,5:29:23 AM,48,86,145
1501271,5:34:13 AM,14,188,213
1501271,5:45:30 AM,16,194,220
1501271,5:53:27 AM,12,156,179
1501271,6:04:32 AM,12,185,204
1501271,6:10:11 AM,12,175,195
1501271,6:10:12 AM,29,113,289
1501271,6:13:53 AM,27,34,101
1501271,6:15:32 AM,27,93,164
1501271,6:20:32 AM,10,128,148
1501271,6:20:49 AM,14,28,158
1501271,6:25:44 AM,35,113,159
1501271,6:33:42 AM,36,121,168
1501271,6:35:08 AM,22,52,134
1501271,6:38:55 AM,27,111,147
1501271,6:43:34 AM,10,205,226
1501271,6:45:20 AM,15,49,169
1501271,6:51:52 AM,12,137,160
1501271,6:56:52 AM,26,147,183
1501271,6:57:28 AM,22,96,243
1501271,6:57:56 AM,13,72,285
1501271,6:59:28 AM,24,172,366
1501271,7:00:36 AM,28,120,418
1501271,7:03:32 AM,17,72,313
1501271,7:05:14 AM,55,182,391
1501271,7:06:15 AM,18,56,385
1501271,7:09:05 AM,18,115,331
1501271,7:09:44 AM,36,107,398
1501271,7:15:21 AM,19,49,111
1501271,7:19:24 AM,50,120,180
1501271,7:21:58 AM,25,114,152
1501271,7:26:06 AM,19,117,147
1501271,7:27:37 AM,18,95,153
1501271,7:28:52 AM,9,171,248
1501271,7:29:53 AM,14,94,281
1501271,7:31:03 AM,15,73,285
1501271,7:34:33 AM,39,129,203
1501271,7:35:20 AM,14,66,223
1501271,7:35:39 AM,27,161,363
1501271,7:37:48 AM,31,240,474
1501271,7:49:28 AM,21,69,107
1501271,7:51:50 AM,66,139,215
1501271,7:53:06 AM,24,43,185
1501271,7:56:35 AM,25,198,233
1501271,7:57:48 AM,15,31,190
1501271,7:58:09 AM,30,58,229
1501271,8:03:11 AM,18,333,361
1501271,8:04:05 AM,72,67,378
1501271,8:07:27 AM,21,49,224
1501271,8:07:56 AM,33,131,327
1501271,8:11:34 AM,35,101,209
1501271,8:18:12 AM,28,185,224
1501271,8:18:47 AM,19,71,261
1501271,8:19:39 AM,10,103,313
1501271,8:20:25 AM,46,95,367
1501271,8:25:25 AM,20,79,145
1501271,8:27:53 AM,41,173,225
1501271,8:28:41 AM,29,89,269
1501271,8:38:01 AM,13,119,143
1501271,8:41:23 AM,16,192,219
1501271,8:42:04 AM,13,178,355
1501271,8:42:27 AM,46,41,373
1501271,8:43:20 AM,27,37,356
1501271,8:44:00 AM,66,61,377
1501271,8:46:58 AM,69,193,391
1501271,8:48:41 AM,41,42,330
1501271,8:51:32 AM,14,83,243
1501271,8:55:31 AM,14,160,319
1501271,8:58:12 AM,14,44,202
1501271,8:58:56 AM,14,189,354
1501271,8:59:11 AM,14,113,453
1501271,9:04:07 AM,14,153,309
1501271,9:06:38 AM,14,209,368
1501271,9:07:45 AM,37,78,243
1501271,9:11:44 AM,37,110,273
1501271,9:12:10 AM,19,88,176
1501271,9:13:23 AM,17,52,156
1501271,9:13:49 AM,54,117,253
1501271,9:17:58 AM,54,226,360
1501271,9:21:23 AM,52,192,262
1501271,9:22:21 AM,13,76,280
1501271,9:22:46 AM,32,158,414
1501271,9:33:06 AM,22,72,110
1501271,9:34:57 AM,36,120,166
1501271,9:38:13 AM,30,99,138
1501271,9:42:43 AM,18,109,139
1501271,9:44:29 AM,44,141,195
1501271,9:47:46 AM,33,84,127
1501271,9:50:13 AM,17,162,188
1501271,9:57:39 AM,18,311,341
1501271,9:58:15 AM,8,65,371
1501271,10:07:01 AM,31,219,260
1501271,10:12:54 AM,29,344,388
1501271,10:13:37 AM,34,134,480
1501271,10:14:21 AM,35,49,485
1501271,10:15:04 AM,21,284,726
1501271,10:30:35 AM,128,187,326
1501271,10:35:57 AM,128,66,202
1501271,10:48:48 AM,22,315,357
1501271,10:49:16 AM,9,55,383
1501271,10:49:44 AM,24,57,412
1501271,10:52:13 AM,111,312,575
1501271,10:58:26 AM,23,57,262
1501271,11:02:44 AM,23,101,302
1501271,11:03:30 AM,57,154,220
1501271,11:04:41 AM,30,236,387
1501271,11:05:20 AM,30,43,394
1501271,11:06:00 AM,15,166,519
1501271,11:07:51 AM,30,55,463
1501271,11:12:57 AM,42,5,162
1501271,11:14:41 AM,3,67,124
1501271,11:14:53 AM,4,193,306
1501271,11:15:03 AM,4,530,827
1501271,11:22:59 AM,43,53,406
1501271,11:23:55 AM,36,43,395
1501271,11:27:56 AM,25,138,294
1501271,11:46:53 AM,21,262,297
1501271,11:47:25 AM,58,130,394
1501271,11:49:17 AM,3,120,401
1501271,11:51:30 AM,55,82,351
1501271,11:56:42 AM,55,181,483
1501271,12:00:20 PM,55,91,355
1501271,12:01:50 PM,55,144,408
1501271,12:02:36 PM,55,152,514
1501271,12:05:09 PM,22,172,267
1501271,12:06:52 PM,22,327,581
1501271,12:15:01 PM,22,43,135
1501271,12:15:30 PM,11,245,264
1501271,12:15:57 PM,68,48,285
1501271,12:17:13 PM,10,135,344
1501271,12:21:21 PM,14,174,270
1501271,12:23:39 PM,31,336,467
1501271,12:24:23 PM,6,101,523
1501271,12:33:02 PM,6,218,637
1501271,12:34:08 PM,61,59,217
1501271,12:37:42 PM,61,108,264
1501271,12:39:32 PM,61,119,274
1501271,12:41:51 PM,32,318,361
1501271,12:44:21 PM,32,78,325
1501271,12:59:50 PM,32,195,233
1501271,1:11:39 PM,29,241,281
1501271,1:32:15 PM,71,158,245
1501271,1:35:15 PM,82,120,214
1501271,1:36:49 PM,82,4,211
1501271,1:40:57 PM,82,100,269
1501271,1:41:01 PM,82,6,96
1501271,1:41:10 PM,82,10,99
1501271,1:41:27 PM,82,2,92
1501271,1:45:34 PM,57,231,310
1501271,1:47:05 PM,48,96,315
1501271,1:48:03 PM,23,103,358
1501271,1:52:24 PM,23,90,437
1501271,2:01:14 PM,175,482,668
1501271,2:04:19 PM,44,32,514
1501271,2:12:50 PM,44,50,530
1501271,2:16:30 PM,44,412,891
1501271,2:27:04 PM,44,219,698
1501271,2:29:03 PM,44,246,830
1501271,2:42:03 PM,42,204,258
1501271,2:45:15 PM,42,218,331
1501271,3:09:25 PM,42,305,356
1501271,3:14:30 PM,42,273,324
1501271,3:15:51 PM,36,68,267
1501271,3:27:54 PM,18,121,150
1501271,3:30:21 PM,18,60,86
1501271,3:34:24 PM,17,120,370
1501271,3:43:54 PM,17,146,392
1501271,3:46:19 PM,17,220,472
1501271,3:57:41 PM,41,290,345
1501271,4:05:18 PM,41,115,166
1501271,4:08:08 PM,41,476,527
1501271,4:16:52 PM,41,276,327
1501271,4:20:25 PM,38,314,379
1501271,4:26:07 PM,61,158,230
1501271,4:28:39 PM,48,226,303
1501271,4:32:07 PM,58,301,397
1501271,4:34:34 PM,37,127,377
1501271,4:44:04 PM,11,5,30
1501271,4:44:35 PM,11,24,44
1501271,4:45:20 PM,11,8,30
1501271,4:52:48 PM,11,249,272
1501271,4:56:57 PM,11,118,142
1501271,5:21:23 PM,44,384,439
1501271,5:30:41 PM,11,67,88
1501271,5:32:53 PM,83,518,611
1501271,5:34:24 PM,19,70,590
1501271,5:36:32 PM,32,134,597
1501271,5:43:39 PM,13,198,369
1501271,5:56:17 PM,15,125,153
1501271,6:01:17 PM,54,341,408
1501271,6:05:08 PM,33,171,349
1501271,6:11:47 PM,23,282,314
1501271,6:15:41 PM,44,317,404
1501271,6:32:59 PM,50,578,640
1501271,6:40:20 PM,50,188,395
1501271,6:46:34 PM,81,362,458
1501271,6:55:39 PM,81,344,437
1501271,6:59:57 PM,33,197,287
1501271,7:07:12 PM,73,282,366
1501271,7:10:06 PM,76,376,570
1501271,7:27:38 PM,71,111,196
1501271,7:28:58 PM,71,226,347
1501271,7:44:12 PM,59,410,482
1501271,7:46:17 PM,31,42,403
1501271,8:03:59 PM,78,133,223
1501271,8:16:26 PM,9,17,36
1501271,8:24:36 PM,15,374,400
1501271,8:27:26 PM,55,39,268
1501271,8:28:27 PM,93,209,417
1501271,8:33:58 PM,116,209,452
1501271,8:35:22 PM,93,156,359
1501271,8:42:27 PM,116,202,440
1501271,9:00:27 PM,113,359,485
1501271,9:34:25 PM,13,303,330
1501271,10:25:18 PM,13,15,37
